Tx,Time,MAC,PosX,PosY,Temp,Hum,Pres,Batt,RSSI,HopCount
0,6.40,0,58.08,44.10,29.00,42.00,1006.00,100.0,0.0,0
0,4.60,1,61.72,118.32,20.00,46.00,1003.00,100.0,-122.9,1
0,1.84,7,128.34,151.99,20.00,46.00,1001.00,100.0,-123.4,2
0,4.27,2,57.18,178.71,21.00,60.00,1003.00,100.0,-100.1,2
0,4.07,3,68.35,215.62,20.00,56.00,1005.00,100.0,-63.8,3
0,2.69,8,128.45,232.18,27.00,51.00,1009.00,100.0,-103.1,4
0,3.57,9,95.87,283.10,28.00,42.00,1003.00,100.0,-120.5,4
0,3.03,4,32.56,293.49,21.00,59.00,1009.00,100.0,-106.1,5
0,5.90,5,91.21,52.01,30.00,59.00,1010.00,100.0,-56.3,1
0,1.56,6,107.11,103.28,29.00,40.00,1004.00,100.0,-88.7,2
0,5.37,10,156.86,55.28,23.00,44.00,1003.00,100.0,-108.7,2
0,5.04,11,185.88,101.31,30.00,59.00,1009.00,100.0,-90.0,3
0,4.00,12,172.22,171.38,23.00,52.00,1010.00,100.0,-118.0,4
0,3.44,18,227.50,212.77,23.00,40.00,1006.00,100.0,-114.2,5
0,3.13,19,219.11,279.24,20.00,56.00,1010.00,100.0,-110.8,6
0,3.75,13,153.23,238.71,29.00,44.00,1001.00,100.0,-115.7,5
0,3.24,14,187.58,300.98,21.00,45.00,1004.00,100.0,-117.6,6
0,4.62,16,243.44,120.74,21.00,55.00,1006.00,100.0,-100.4,4
0,2.58,21,295.68,99.07,21.00,47.00,1010.00,100.0,-93.5,5
0,2.59,17,248.23,160.75,22.00,56.00,1006.00,100.0,-66.6,5
0,3.11,20,276.99,62.84,30.00,46.00,1008.00,100.0,-110.6,5
0,2.77,15,233.27,37.23,23.00,56.00,1010.00,100.0,-83.8,6
0,4.14,22,290.60,160.53,23.00,51.00,1006.00,100.0,-102.0,5
0,3.59,23,305.16,227.63,21.00,60.00,1007.00,100.0,-113.5,6
0,3.26,24,288.51,289.94,21.00,50.00,1008.00,100.0,-106.6,7
