Data Log:
Tx  Time     MAC      Position              Temp    Hum     Pres    Batt    RSSI    HopCount
----------------------------------------------------------------------------------------------------
0   8.5      0        (37.69, 56.82)        27.00   47.00   1006    100.0   0.0     0     
0   2.5      5        [96.72, 56.28]        27.00   42.00   1010    100.0   -97.6   1     
0   8.0      1        [53.15, 99.2]         25.00   59.00   1002    100.0   -74.6   1     
0   7.5      6        [106.38, 112.45]      26.00   49.00   1009    100.0   -90.7   2     
0   7.1      7        [118.83, 155.33]      30.00   53.00   1005    100.0   -73.8   3     
0   3.5      2        [59.66, 187.36]       27.00   52.00   1008    100.0   -111.2  4     
0   5.2      8        [117.36, 219.8]       24.00   43.00   1001    100.0   -106.6  4     
0   3.9      3        [68.96, 226.47]       30.00   46.00   1005    100.0   -80.8   5     
0   4.8      13       [173.73, 237.3]       21.00   44.00   1009    100.0   -97.6   5     
0   4.6      14       [168.9, 287.76]       29.00   50.00   1004    100.0   -83.8   6     
0   4.3      19       [235.38, 302.43]      28.00   44.00   1004    100.0   -112.6  7     
0   6.7      12       [167.88, 182.08]      21.00   58.00   1003    100.0   -92.4   4     
0   5.6      17       [221.72, 187.26]      28.00   52.00   1005    100.0   -89.4   5     
0   5.3      18       [248.56, 246.93]      28.00   43.00   1010    100.0   -108.2  6     
0   4.7      23       [309.09, 244.03]      22.00   59.00   1005    100.0   -100.2  7     
0   4.8      24       [272.7, 280.34]       23.00   46.00   1010    100.0   -68.1   7     
0   5.2      22       [274.15, 174.91]      21.00   40.00   1007    100.0   -89.1   6     
0   4.9      21       [276.39, 110.98]      20.00   41.00   1000    100.0   -105.8  7     
0   6.3      11       [189.82, 118.1]       25.00   55.00   1004    100.0   -111.8  5     
0   4.7      16       [218.17, 100.98]      22.00   52.00   1008    100.0   -54.8   6     
0   5.8      10       [188.83, 66.7]        24.00   59.00   1000    100.0   -85.0   6     
0   5.6      15       [226.37, 48.9]        30.00   54.00   1004    100.0   -68.7   7     
0   5.2      20       [286.34, 59.14]       22.00   50.00   1005    100.0   -100.6  8     
